id	nombre	pais	region	latitud	longitud	anio_construccion	estilo_arquitectonico	tipo_material	estado_actual	visitantes_anuales	patrimonio_unesco
IRD-00023	Ale_00023	Alemania	Hesse	53.86687	9.09661	1596	Renacentista	Ladrillo	En ruinas	114586	False
IRD-00024	Ale_00024	Alemania	Baviera	50.18058	10.91864	1228	Medieval / Neogotico	Piedra y ladrillo	Restaurado	17625	False
IRD-00025	Ale_00025	Alemania	Brandenburgo	52.56628	8.17123	1445	Medieval / Neogotico	Piedra	En ruinas	63756	False
IRD-00026	Ale_00026	Alemania	Baviera	49.23097	12.6534	1230	Medieval / Neogotico	Mamposteria	Museo	98873	False
IRD-00027	Ale_00027	Alemania	Sajonia	47.67312	7.53547	1703	Neogotico	Mamposteria	En ruinas	105545	False
IRD-00028	Ale_00028	Alemania	Baden-Wurtemberg	48.28646	11.21297	1762	Neogotico	Roca	Restaurado	50792	False
IRD-00029	Ale_00029	Alemania	Baviera	50.95115	7.69882	1483	Medieval / Neogotico	Piedra y ladrillo	Parcialmente restaurado	25143	False
IRD-00030	Ale_00030	Alemania	Brandenburgo	48.95192	15.2436	1650	Barroco	Mixto	Residencia privada	69276	False
IRD-00031	Ale_00031	Alemania	Hesse	51.0211	11.48059	1416	Medieval / Neogotico	Piedra y ladrillo	En ruinas	59184	False
IRD-00032	Ale_00032	Alemania	Brandenburgo	49.96127	6.14684	1448	Medieval / Neogotico	Piedra	En ruinas	72446	False
IRD-00033	Ale_00033	Alemania	Sajonia	53.82408	8.79726	1760	Barroco	Piedra y ladrillo	Restaurado	121796	False
IRD-00034	Ale_00034	Alemania	Brandenburgo	47.77741	11.84257	1750	Neogotico	Ladrillo	Restaurado	65675	False
IRD-00035	Ale_00035	Alemania	Baden-Wurtemberg	52.92615	12.62165	1345	Medieval	Roca	Restaurado	12689	False
IRD-00036	Ale_00036	Alemania	Sajonia	51.09074	10.7644	1619	Barroco	Piedra	Restaurado	35936	False
IRD-00037	Ale_00037	Alemania	Brandenburgo	54.12004	9.21095	1547	Renacentista	Ladrillo	En ruinas	18031	False
IRD-00038	Ale_00038	Alemania	Brandenburgo	49.29233	11.61292	1779	Neogotico	Ladrillo	Museo	199063	False
IRD-00039	Ale_00039	Alemania	Sajonia	49.61321	13.86476	1685	Renacentista	Mamposteria	Parcialmente restaurado	652806	False
IRD-00040	Ale_00040	Alemania	Sajonia	48.06196	15.2106	1157	Romanico	Piedra y ladrillo	Museo	378289	False
IRD-00041	Ale_00041	Alemania	Sajonia	52.95234	8.38318	1116	Romanico	Mixto	Museo	27672	False
IRD-00042	Ale_00042	Alemania	Baviera	50.53882	8.27798	1647	Neogotico	Piedra	Parcialmente restaurado	315306	False
IRD-00043	Ale_00043	Alemania	Hesse	52.90318	11.26636	1846	Neogotico	Piedra y ladrillo	Restaurado	212545	True
IRD-00044	Ale_00044	Alemania	Brandenburgo	47.73439	6.89449	1837	Neogotico	Mixto	Parcialmente restaurado	29505	False
IRD-00045	Ale_00045	Alemania	Baden-Wurtemberg	53.10692	13.66567	1482	Renacentista	Mixto	En ruinas	306327	False
IRD-00046	Ale_00046	Alemania	Baden-Wurtemberg	49.08715	6.14539	1195	Medieval	Piedra	En ruinas	14326	False
IRD-00047	Ale_00047	Alemania	Baden-Wurtemberg	47.21209	11.56487	1439	Medieval	Mamposteria	En ruinas	32366	False
IRD-00048	Ale_00048	Alemania	Hesse	52.00752	13.79406	1429	Medieval / Neogotico	Piedra y ladrillo	Restaurado	494507	False
IRD-00049	Ale_00049	Alemania	Brandenburgo	47.14577	6.89721	1314	Medieval	Piedra	Parcialmente restaurado	283487	False
IRD-00050	Ale_00050	Alemania	Renania	49.25484	7.12257	1713	Barroco	Roca	Residencia privada	22444	True
IRD-00051	Ale_00051	Alemania	Baviera	53.42785	8.67933	1191	Romanico	Piedra y ladrillo	Residencia privada	10019	False
IRD-00052	Ale_00052	Alemania	Brandenburgo	51.49493	8.26667	1162	Gotico / Renacentista	Piedra	Restaurado	17666	False
IRD-00053	Ale_00053	Alemania	Baviera	51.04202	13.85135	1786	Neogotico	Piedra y ladrillo	En ruinas	45659	False
IRD-00054	Ale_00054	Alemania	Sajonia	51.5875	12.00245	1668	Barroco	Piedra y ladrillo	Parcialmente restaurado	32432	False
IRD-00055	Ale_00055	Alemania	Hesse	53.019	13.52	1188	Gotico	Roca	Residencia privada	367201	False
IRD-00056	Ale_00056	Alemania	Baviera	53.09209	11.87307	1829	Barroco	Mixto	Parcialmente restaurado	89732	False
IRD-00057	Ale_00057	Alemania	Baden-Wurtemberg	54.13518	7.39275	1764	Barroco	Mixto	Residencia privada	14071	False
IRD-00058	Ale_00058	Alemania	Baviera	51.73511	9.32707	1608	Renacentista	Piedra y ladrillo	Museo	14654	False
IRD-00059	Ale_00059	Alemania	Renania	48.98979	9.1374	1772	Neogotico	Roca	En ruinas	293654	False
IRD-00060	Ale_00060	Alemania	Baviera	52.95369	12.46987	1639	Renacentista	Piedra	En ruinas	95955	False
IRD-00061	Ale_00061	Alemania	Baviera	48.78877	15.15061	1622	Renacentista	Roca	Restaurado	64193	False
IRD-00062	Ale_00062	Alemania	Hesse	49.02392	12.60641	1196	Gotico	Piedra	Restaurado	160092	False
IRD-00063	Ale_00063	Alemania	Baviera	52.02046	11.55099	1111	Medieval / Neogotico	Ladrillo	Residencia privada	53587	False
IRD-00064	Ale_00064	Alemania	Baden-Wurtemberg	48.50497	10.40513	1177	Romanico	Mamposteria	Restaurado	158944	False
IRD-00065	Ale_00065	Alemania	Renania	52.58529	11.09292	1361	Gotico	Roca	Parcialmente restaurado	125738	False
IRD-00066	Ale_00066	Alemania	Brandenburgo	53.92851	6.42958	1438	Gotico / Renacentista	Mixto	Museo	262146	False
IRD-00067	Ale_00067	Alemania	Baviera	50.01391	13.12099	1491	Gotico	Piedra y ladrillo	Museo	53394	False
IRD-00068	Ale_00068	Alemania	Baviera	47.10938	6.71591	1658	Renacentista	Roca	Residencia privada	206450	False
IRD-00069	Ale_00069	Alemania	Hesse	51.6812	12.89815	1082	Romanico	Piedra	Restaurado	31053	False
IRD-00070	Ale_00070	Alemania	Sajonia	48.82914	12.38116	1133	Medieval / Neogotico	Mamposteria	Restaurado	27471	True
IRD-00071	Ale_00071	Alemania	Baden-Wurtemberg	51.16246	13.33702	1405	Medieval	Mamposteria	Museo	90555	False
IRD-00072	Ale_00072	Alemania	Hesse	51.96248	12.68876	1202	Medieval	Mixto	Parcialmente restaurado	229140	False
IRD-00073	Ale_00073	Alemania	Baden-Wurtemberg	51.71934	9.72632	1407	Medieval	Piedra	En ruinas	36801	False
IRD-00074	Ale_00074	Alemania	Renania	52.58113	13.56648	1183	Romanico	Piedra	En ruinas	227395	False
IRD-00075	Ale_00075	Alemania	Hesse	54.84026	10.67987	1725	Barroco	Piedra y ladrillo	En ruinas	97255	False
IRD-00076	Ale_00076	Alemania	Renania	48.11062	12.08831	1487	Medieval / Neogotico	Piedra	Museo	7611	False
IRD-00077	Ale_00077	Alemania	Hesse	54.78488	11.71839	1376	Medieval	Roca	Restaurado	47294	False
IRD-00078	Ale_00078	Alemania	Hesse	50.68623	7.96017	1077	Romanico	Ladrillo	Parcialmente restaurado	55449	True
IRD-00079	Ale_00079	Alemania	Baviera	50.84916	12.53395	1449	Medieval / Neogotico	Piedra y ladrillo	Residencia privada	53512	False
IRD-00080	Ale_00080	Alemania	Baviera	51.77822	15.36944	1276	Gotico / Renacentista	Mixto	Restaurado	48003	False
IRD-00081	Ale_00081	Alemania	Brandenburgo	50.70028	13.10097	1786	Neogotico	Piedra y ladrillo	Parcialmente restaurado	61612	False
IRD-00082	Ale_00082	Alemania	Hesse	53.93772	9.36439	1114	Medieval	Piedra	Parcialmente restaurado	157727	False
IRD-00083	Ale_00083	Alemania	Baviera	53.72568	6.84744	1899	Neogotico	Piedra	Museo	323560	False
IRD-00084	Ale_00084	Alemania	Hesse	50.83666	11.5499	1633	Neogotico	Piedra	En ruinas	144587	False
IRD-00085	Ale_00085	Alemania	Hesse	49.90466	12.13621	1228	Romanico	Piedra	Restaurado	31236	False
IRD-00086	Ale_00086	Alemania	Brandenburgo	53.44692	6.52871	1396	Gotico	Piedra y ladrillo	En ruinas	36786	False
IRD-00087	Ale_00087	Alemania	Sajonia	54.97804	14.5178	1669	Renacentista	Piedra y ladrillo	Museo	33631	False
IRD-00088	Ale_00088	Alemania	Renania	53.56689	12.82534	1491	Medieval	Ladrillo	Restaurado	127438	False
IRD-00089	Ale_00089	Alemania	Brandenburgo	54.74395	12.75405	1674	Renacentista	Mamposteria	Restaurado	77631	False
IRD-00090	Ale_00090	Alemania	Hesse	51.04883	14.85414	1858	Barroco	Piedra	En ruinas	24238	False
IRD-00091	Ale_00091	Alemania	Hesse	47.507	15.40462	1767	Barroco	Ladrillo	Restaurado	55732	False
IRD-00092	Ale_00092	Alemania	Renania	49.79095	14.83053	1835	Neogotico	Ladrillo	Restaurado	21508	False
IRD-00093	Ale_00093	Alemania	Baviera	48.64001	9.60267	1445	Gotico	Mixto	Restaurado	106863	False
IRD-00094	Ale_00094	Alemania	Sajonia	48.30925	7.56053	1677	Barroco	Ladrillo	Residencia privada	98448	False
IRD-00095	Ale_00095	Alemania	Baden-Wurtemberg	50.13956	13.75769	1253	Gotico / Renacentista	Mixto	Museo	121530	False
IRD-00096	Ale_00096	Alemania	Baviera	48.8577	14.54596	1458	Gotico / Renacentista	Piedra y ladrillo	En ruinas	544950	False
IRD-00097	Ale_00097	Alemania	Renania	52.02166	9.1816	1114	Medieval / Neogotico	Roca	En ruinas	96720	False
IRD-00098	Ale_00098	Alemania	Baviera	49.49378	8.36065	1438	Gotico / Renacentista	Mixto	Restaurado	291568	False
IRD-00099	Ale_00099	Alemania	Hesse	54.01413	9.24978	1758	Neogotico	Mamposteria	En ruinas	63269	False
IRD-00100	Ale_00100	Alemania	Hesse	48.83401	12.8614	1094	Romanico	Piedra y ladrillo	Parcialmente restaurado	733577	False
IRD-00101	Ale_00101	Alemania	Renania	51.79223	13.85459	1637	Neogotico	Mixto	En ruinas	115193	False
IRD-00102	Ale_00102	Alemania	Hesse	48.11293	6.95755	1260	Gotico	Mamposteria	En ruinas	56636	False
IRD-00103	Ale_00103	Alemania	Sajonia	53.32068	6.21871	1255	Gotico / Renacentista	Piedra	En ruinas	15655	False
IRD-00104	Ale_00104	Alemania	Baviera	54.40455	10.28297	1700	Neogotico	Roca	Restaurado	395073	False
IRD-00105	Ale_00105	Alemania	Baviera	49.65717	8.95872	1498	Medieval	Roca	En ruinas	26997	False
IRD-00106	Ale_00106	Alemania	Baden-Wurtemberg	49.66799	9.7826	1239	Gotico	Piedra y ladrillo	Residencia privada	115933	False
IRD-00107	Ale_00107	Alemania	Renania	52.90001	10.29607	1463	Medieval	Piedra y ladrillo	Restaurado	59477	False
IRD-00108	Ale_00108	Alemania	Baviera	49.89915	11.51559	1753	Neogotico	Mamposteria	Restaurado	16008	False
IRD-00109	Ale_00109	Alemania	Baviera	54.68856	7.4123	1662	Neogotico	Roca	Restaurado	20738	False
IRD-00110	Ale_00110	Alemania	Renania	48.67924	14.53152	1257	Medieval / Neogotico	Roca	Parcialmente restaurado	19575	False
IRD-00111	Ale_00111	Alemania	Renania	47.52567	13.36751	1343	Gotico / Renacentista	Mixto	En ruinas	208164	False
IRD-00112	Ale_00112	Alemania	Baviera	49.6749	6.71728	1387	Medieval	Ladrillo	Restaurado	7529	False
IRD-00113	Ale_00113	Alemania	Sajonia	53.406	15.29985	1277	Medieval / Neogotico	Roca	En ruinas	11819	False
IRD-00114	Ale_00114	Alemania	Hesse	51.76039	9.22308	1666	Barroco	Piedra y ladrillo	Parcialmente restaurado	84203	False
IRD-00115	Ale_00115	Alemania	Baden-Wurtemberg	53.44252	15.39292	1219	Medieval / Neogotico	Mixto	Museo	310642	False
IRD-00116	Ale_00116	Alemania	Baden-Wurtemberg	47.10402	6.81233	1234	Gotico / Renacentista	Piedra y ladrillo	Restaurado	21870	False
IRD-00117	Ale_00117	Alemania	Hesse	50.3714	14.48038	1346	Gotico / Renacentista	Mamposteria	Restaurado	37853	True
IRD-00118	Ale_00118	Alemania	Sajonia	51.99319	9.88941	1825	Neogotico	Roca	Restaurado	177822	False
IRD-00119	Ale_00119	Alemania	Brandenburgo	53.23807	7.08526	1719	Neogotico	Piedra y ladrillo	Museo	42799	True
IRD-00120	Ale_00120	Alemania	Brandenburgo	52.9335	12.63904	1508	Gotico	Piedra	Restaurado	230048	False
IRD-00121	Ale_00121	Alemania	Sajonia	48.05821	14.55544	1214	Romanico	Roca	Restaurado	11735	False
IRD-00122	Ale_00122	Alemania	Baviera	50.97972	12.84192	1626	Barroco	Piedra	Restaurado	103970	False
IRD-00123	Ale_00123	Alemania	Baden-Wurtemberg	51.80413	12.31785	1543	Gotico / Renacentista	Roca	Museo	243749	False
IRD-00124	Ale_00124	Alemania	Baden-Wurtemberg	48.33027	13.01132	1280	Medieval	Mamposteria	Museo	36479	False
IRD-00125	Ale_00125	Alemania	Renania	49.30955	9.37889	1336	Gotico	Piedra y ladrillo	Residencia privada	100697	False
IRD-00126	Ale_00126	Alemania	Baviera	49.15929	11.12851	1326	Medieval	Mamposteria	Restaurado	53192	False
IRD-00127	Ale_00127	Alemania	Hesse	48.23738	11.92166	1072	Romanico	Piedra	En ruinas	313319	False
IRD-00128	Ale_00128	Alemania	Baviera	48.97122	13.78147	1707	Barroco	Mamposteria	Residencia privada	29605	True
IRD-00129	Ale_00129	Alemania	Sajonia	49.88779	6.87003	1404	Medieval	Roca	Museo	74422	False
IRD-00130	Ale_00130	Alemania	Renania	52.8578	13.66233	1523	Gotico / Renacentista	Mixto	Residencia privada	419102	False
IRD-00131	Ale_00131	Alemania	Sajonia	48.76968	15.38285	1625	Barroco	Ladrillo	En ruinas	8497	False
IRD-00132	Ale_00132	Alemania	Baviera	48.54079	7.09518	1314	Medieval	Roca	En ruinas	45274	False
IRD-00133	Ale_00133	Alemania	Renania	49.5528	13.8747	1163	Gotico	Piedra y ladrillo	En ruinas	165857	False
IRD-00134	Ale_00134	Alemania	Baden-Wurtemberg	52.79813	6.62089	1525	Gotico / Renacentista	Piedra	En ruinas	56947	False
IRD-00135	Ale_00135	Alemania	Hesse	52.00713	14.41679	1107	Romanico	Mixto	En ruinas	77355	True
IRD-00136	Ale_00136	Alemania	Hesse	51.2315	14.92114	1478	Medieval	Mixto	En ruinas	58695	False
IRD-00137	Ale_00137	Alemania	Hesse	47.30077	10.55792	1335	Medieval / Neogotico	Piedra	Museo	11138	False
IRD-00138	Ale_00138	Alemania	Brandenburgo	47.02677	10.43945	1257	Medieval / Neogotico	Ladrillo	Restaurado	10315	False
IRD-00139	Ale_00139	Alemania	Baviera	49.21813	14.64822	1222	Gotico / Renacentista	Piedra	En ruinas	31302	False
IRD-00140	Ale_00140	Alemania	Brandenburgo	51.80639	14.58538	1152	Romanico	Mamposteria	Restaurado	133500	False
IRD-00141	Ale_00141	Alemania	Hesse	52.19717	11.7735	1706	Barroco	Ladrillo	En ruinas	95660	False
IRD-00142	Ale_00142	Alemania	Baviera	51.14608	11.6741	1210	Gotico	Piedra y ladrillo	En ruinas	99527	False
IRD-00143	Ale_00143	Alemania	Brandenburgo	54.97069	14.52564	1368	Medieval	Roca	En ruinas	281392	False
IRD-00144	Ale_00144	Alemania	Baviera	50.12936	8.59311	1736	Barroco	Piedra y ladrillo	Residencia privada	360727	False
IRD-00145	Ale_00145	Alemania	Baviera	49.63241	14.8501	1325	Medieval	Mamposteria	En ruinas	144943	False
IRD-00146	Ale_00146	Alemania	Brandenburgo	54.69698	7.03995	1646	Renacentista	Roca	Museo	23139	False
IRD-00147	Ale_00147	Alemania	Brandenburgo	51.73926	13.83447	1139	Medieval / Neogotico	Ladrillo	En ruinas	90166	False
IRD-00148	Ale_00148	Alemania	Sajonia	53.80465	14.23929	1418	Gotico	Piedra y ladrillo	Restaurado	113320	False
IRD-00149	Ale_00149	Alemania	Sajonia	51.94889	13.15081	1282	Gotico / Renacentista	Piedra y ladrillo	Residencia privada	169431	True
IRD-00150	Ale_00150	Alemania	Renania	48.829	14.63266	1257	Romanico	Mixto	Museo	54461	False
IRD-00151	Ale_00151	Alemania	Baden-Wurtemberg	49.29631	11.86081	1382	Gotico	Piedra	Restaurado	47992	False
IRD-00152	Ale_00152	Alemania	Baden-Wurtemberg	50.45793	13.98115	1509	Renacentista	Mixto	Museo	72382	False
IRD-00153	Ale_00153	Alemania	Sajonia	52.50309	6.64445	1291	Medieval	Piedra	Museo	47382	True
IRD-00154	Ale_00154	Alemania	Renania	53.81932	15.40641	1434	Gotico / Renacentista	Mamposteria	Parcialmente restaurado	379574	False
IRD-00155	Ale_00155	Alemania	Hesse	50.0689	6.62345	1283	Gotico	Piedra y ladrillo	Restaurado	117983	False
IRD-00156	Ale_00156	Alemania	Baviera	48.30899	13.55069	1674	Barroco	Mamposteria	Museo	57066	False
IRD-00157	Ale_00157	Alemania	Sajonia	52.23609	8.59597	1531	Gotico	Mamposteria	Restaurado	92119	False
IRD-00158	Ale_00158	Alemania	Sajonia	50.18076	8.60504	1356	Medieval	Ladrillo	Museo	76367	False
IRD-00159	Ale_00159	Alemania	Hesse	48.60287	14.24717	1111	Medieval / Neogotico	Ladrillo	Museo	99260	False
IRD-00160	Ale_00160	Alemania	Baviera	47.72932	7.45975	1273	Medieval	Ladrillo	Museo	58167	False
IRD-00161	Ale_00161	Alemania	Sajonia	47.26021	14.74805	1145	Medieval	Piedra	Restaurado	308079	False
IRD-00162	Ale_00162	Alemania	Baviera	48.6042	10.67015	1363	Gotico / Renacentista	Mixto	Restaurado	268616	False
IRD-00163	Ale_00163	Alemania	Renania	54.87481	7.42102	1873	Barroco	Mixto	En ruinas	709474	False
IRD-00164	Ale_00164	Alemania	Hesse	53.05647	15.05016	1541	Gotico	Piedra y ladrillo	En ruinas	36465	False
IRD-00165	Ale_00165	Alemania	Baviera	47.82234	11.42359	1229	Gotico / Renacentista	Mixto	Parcialmente restaurado	101203	True
IRD-00166	Ale_00166	Alemania	Sajonia	47.57933	11.0753	1226	Gotico	Mamposteria	En ruinas	355622	False
IRD-00167	Ale_00167	Alemania	Brandenburgo	51.54033	12.54992	1142	Romanico	Ladrillo	Restaurado	85126	False
IRD-00168	Ale_00168	Alemania	Renania	47.25269	14.89402	1372	Gotico / Renacentista	Piedra	Parcialmente restaurado	68376	False
IRD-00169	Ale_00169	Alemania	Baden-Wurtemberg	52.00244	13.44252	1400	Gotico / Renacentista	Piedra y ladrillo	Museo	223550	False
IRD-00170	Ale_00170	Alemania	Renania	47.32603	7.558	1611	Neogotico	Mamposteria	Restaurado	72955	False
IRD-00171	Ale_00171	Alemania	Baden-Wurtemberg	49.63214	10.46673	1820	Barroco	Roca	Parcialmente restaurado	1161253	False
IRD-00172	Ale_00172	Alemania	Brandenburgo	49.65852	11.15355	1230	Medieval	Mamposteria	Restaurado	54359	False
IRD-00173	Ale_00173	Alemania	Hesse	50.3472	7.93399	1481	Gotico / Renacentista	Piedra	Museo	152189	False
IRD-00174	Ale_00174	Alemania	Sajonia	52.8828	13.29338	1601	Renacentista	Ladrillo	Museo	143366	False
IRD-00175	Ale_00175	Alemania	Sajonia	47.23516	9.75739	1515	Renacentista	Ladrillo	Museo	24631	False
IRD-00176	Ale_00176	Alemania	Baden-Wurtemberg	52.05248	12.96457	1381	Medieval	Mamposteria	Residencia privada	15320	False
IRD-00177	Ale_00177	Alemania	Sajonia	49.98279	10.86984	1640	Barroco	Mixto	Restaurado	299559	False
IRD-00178	Ale_00178	Alemania	Sajonia	51.74361	7.55348	1444	Medieval	Piedra	En ruinas	11547	False
IRD-00179	Ale_00179	Alemania	Hesse	49.60152	13.34799	1263	Medieval / Neogotico	Roca	Restaurado	92331	False
IRD-00180	Ale_00180	Alemania	Baden-Wurtemberg	50.59022	12.35921	1406	Gotico	Roca	Restaurado	44377	False
IRD-00181	Ale_00181	Alemania	Baviera	49.02022	9.41288	1570	Renacentista	Piedra y ladrillo	Parcialmente restaurado	43406	False
IRD-00182	Ale_00182	Alemania	Sajonia	50.57095	14.21005	1707	Neogotico	Piedra y ladrillo	Restaurado	477704	False
IRD-00183	Ale_00183	Alemania	Baden-Wurtemberg	47.98377	8.19574	1284	Romanico	Piedra	Restaurado	124572	False
IRD-00184	Ale_00184	Alemania	Baviera	51.67737	12.53797	1630	Renacentista	Ladrillo	Residencia privada	55231	True
IRD-00185	Ale_00185	Alemania	Baden-Wurtemberg	49.58505	15.24443	1372	Gotico / Renacentista	Piedra y ladrillo	En ruinas	25055	True
IRD-00186	Ale_00186	Alemania	Hesse	48.14834	14.92829	1568	Renacentista	Ladrillo	Restaurado	89625	False
IRD-00187	Ale_00187	Alemania	Hesse	50.55	14.24735	1774	Neogotico	Ladrillo	Parcialmente restaurado	56861	True
IRD-00188	Ale_00188	Alemania	Baden-Wurtemberg	51.94278	14.2546	1468	Medieval / Neogotico	Mamposteria	Restaurado	72880	False
IRD-00189	Ale_00189	Alemania	Sajonia	52.41211	8.04891	1241	Medieval / Neogotico	Roca	Parcialmente restaurado	9405	False
IRD-00190	Ale_00190	Alemania	Brandenburgo	49.54489	14.23117	1325	Gotico	Roca	Museo	153808	False
IRD-00191	Ale_00191	Alemania	Baviera	47.87288	12.17986	1731	Neogotico	Mixto	En ruinas	131913	False
IRD-00192	Ale_00192	Alemania	Brandenburgo	51.35591	6.05471	1214	Gotico / Renacentista	Mamposteria	Parcialmente restaurado	40480	False
IRD-00193	Ale_00193	Alemania	Renania	50.10846	10.26259	1373	Gotico	Piedra	En ruinas	62422	False
IRD-00194	Ale_00194	Alemania	Brandenburgo	51.95592	10.40319	1184	Medieval	Ladrillo	Residencia privada	47458	False
IRD-00195	Ale_00195	Alemania	Sajonia	47.20514	9.24185	1582	Renacentista	Ladrillo	En ruinas	51534	False
IRD-00196	Ale_00196	Alemania	Brandenburgo	52.97501	12.79716	1120	Medieval	Piedra y ladrillo	Restaurado	11680	False
IRD-00197	Ale_00197	Alemania	Sajonia	54.63728	12.21958	1370	Medieval	Mamposteria	Residencia privada	28170	False
IRD-00198	Ale_00198	Alemania	Hesse	49.27898	8.91925	1305	Gotico / Renacentista	Piedra y ladrillo	En ruinas	45221	False
IRD-00199	Ale_00199	Alemania	Brandenburgo	52.72921	8.58993	1539	Renacentista	Piedra	En ruinas	34880	False
IRD-00200	Ale_00200	Alemania	Baviera	51.5385	8.43735	1533	Renacentista	Mamposteria	Restaurado	100061	False
IRD-00201	Ale_00201	Alemania	Sajonia	47.3473	12.01494	1240	Medieval	Mixto	Museo	45073	False
IRD-00202	Ale_00202	Alemania	Baden-Wurtemberg	48.39819	9.42734	1071	Romanico	Piedra	Restaurado	89428	False
IRD-00203	Ale_00203	Alemania	Baden-Wurtemberg	52.85566	14.08616	1351	Gotico / Renacentista	Piedra	Restaurado	25968	False
IRD-00204	Ale_00204	Alemania	Baviera	52.89499	14.19657	1298	Gotico / Renacentista	Piedra	Restaurado	511523	False
IRD-00205	Ale_00205	Alemania	Renania	51.85675	11.19363	1077	Romanico	Roca	En ruinas	81992	False
IRD-00206	Ale_00206	Alemania	Hesse	52.40673	10.20581	1766	Barroco	Piedra	Parcialmente restaurado	59749	False
IRD-00207	Ale_00207	Alemania	Sajonia	53.54966	11.73058	1641	Neogotico	Roca	Restaurado	33467	False
IRD-00208	Ale_00208	Alemania	Baviera	51.93725	10.20289	1579	Renacentista	Mamposteria	Museo	21703	False
IRD-00209	Ale_00209	Alemania	Hesse	49.16918	11.63171	1399	Medieval	Roca	En ruinas	13365	False
IRD-00210	Ale_00210	Alemania	Brandenburgo	49.66856	11.51451	1035	Romanico	Roca	Restaurado	15840	False
IRD-00211	Ale_00211	Alemania	Baviera	48.36382	9.89004	1720	Neogotico	Mamposteria	Restaurado	178315	False
IRD-00212	Ale_00212	Alemania	Hesse	47.95863	15.25456	1604	Neogotico	Mamposteria	Residencia privada	110099	False
IRD-00213	Ale_00213	Alemania	Baviera	52.37247	6.88283	1830	Neogotico	Piedra	Parcialmente restaurado	17358	False
IRD-00214	Ale_00214	Alemania	Sajonia	49.42503	8.49957	1257	Romanico	Piedra y ladrillo	Restaurado	61380	False
IRD-00215	Ale_00215	Alemania	Renania	50.17585	10.24842	1659	Renacentista	Mixto	Residencia privada	76980	False
IRD-00216	Ale_00216	Alemania	Baden-Wurtemberg	51.00922	9.7732	1681	Neogotico	Roca	En ruinas	59781	False
IRD-00217	Ale_00217	Alemania	Brandenburgo	52.77138	7.34214	1163	Gotico / Renacentista	Piedra	Restaurado	122060	False
IRD-00218	Ale_00218	Alemania	Hesse	53.89612	14.76619	1709	Neogotico	Mixto	Museo	67523	False
IRD-00219	Ale_00219	Alemania	Renania	50.1893	7.39055	1624	Barroco	Mamposteria	Restaurado	39653	False
